Unnamed: 0.1,Unnamed: 0,Company Name,Location,Datum,Detail,Status Rocket,Rocket,Status Mission,Latitude,Longitude,Mission.Year,Company ID
0,0,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2020-08-07 05:12:00+00:00,Falcon 9 Block 5 | Starlink V1 L9 & BlackSky,StatusActive,50,Success,28.524279550000003,-80.68185579912377,2020,0
1,1,CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",2020-08-06 04:01:00+00:00,Long March 2D | Gaofen-9 04 & Q-SAT,StatusActive,29.75,Success,40.964989,100.2838214916303,2020,1
2,2,SpaceX,"Pad A, Boca Chica, Texas, USA",2020-08-04 23:57:00+00:00,Starship Prototype | 150 Meter Hop,StatusActive,,Success,32.21785207396952,-96.03702190225653,2020,0
3,3,Roscosmos,"Site 200/39, Baikonur Cosmodrome, Kazakhstan",2020-07-30 21:25:00+00:00,Proton-M/Briz-M | Ekspress-80 & Ekspress-103,StatusActive,65,Success,45.9178932,63.40837213703634,2020,2
4,4,ULA,"SLC-41, Cape Canaveral AFS, Florida, USA",2020-07-30 11:50:00+00:00,Atlas V 541 | Perseverance,StatusActive,145,Success,27.7567667,-81.4639835,2020,3
5,5,CASC,"LC-9, Taiyuan Satellite Launch Center, China",2020-07-25 03:13:00+00:00,"Long March 4B | Ziyuan-3 03, Apocalypse-10 & NJU-HKU 1",StatusActive,64.68,Success,35.0000663,104.999955,2020,1
6,6,Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2020-07-23 14:26:00+00:00,Soyuz 2.1a | Progress MS-15,StatusActive,48.5,Success,45.9178932,63.40837213703634,2020,2
7,7,CASC,"LC-101, Wenchang Satellite Launch Center, China",2020-07-23 04:41:00+00:00,Long March 5 | Tianwen-1,StatusActive,,Success,35.0000663,104.999955,2020,1
8,8,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2020-07-20 21:30:00+00:00,Falcon 9 Block 5 | ANASIS-II,StatusActive,50,Success,27.7567667,-81.4639835,2020,0
9,9,JAXA,"LA-Y1, Tanegashima Space Center, Japan",2020-07-19 21:58:00+00:00,H-IIA 202 | Hope Mars Mission,StatusActive,90,Success,30.39434145,130.9577894923186,2020,4
10,10,Northrop,"LP-0B, Wallops Flight Facility, Virginia, USA",2020-07-15 13:46:00+00:00,Minotaur IV | NROL-129,StatusActive,46,Success,37.93523815,-75.46969556654054,2020,5
11,11,ExPace,"Site 95, Jiuquan Satellite Launch Center, China",2020-07-10 04:17:00+00:00,"Kuaizhou 11 | Jilin-1 02E, CentiSpace-1 S2",StatusActive,28.3,Failure,40.964989,100.2838214916303,2020,6
12,12,CASC,"LC-3, Xichang Satellite Launch Center, China",2020-07-09 12:11:00+00:00,Long March 3B/E | Apstar-6D,StatusActive,29.15,Success,28.24576155,102.02793799844264,2020,1
13,13,IAI,"Pad 1, Palmachim Airbase, Israel",2020-07-06 01:00:00+00:00,Shavit-2 | Ofek-16,StatusActive,,Success,30.8124247,34.8594762,2020,7
14,14,CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",2020-07-04 23:44:00+00:00,Long March 2D | Shiyan-6 02,StatusActive,29.75,Success,40.964989,100.2838214916303,2020,1
15,15,Rocket Lab,"Rocket Lab LC-1A, M?hia Peninsula, New Zealand",2020-07-04 21:19:00+00:00,Electron/Curie | Pics Or It Didn??¦t Happen,StatusActive,7.5,Failure,-41.5000831,172.8344077,2020,8
16,16,CASC,"LC-9, Taiyuan Satellite Launch Center, China",2020-07-03 03:10:00+00:00,Long March 4B | Gaofen Duomo & BY-02,StatusActive,64.68,Success,35.0000663,104.999955,2020,1
17,17,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2020-06-30 20:10:00+00:00,Falcon 9 Block 5 | GPS III SV03,StatusActive,50,Success,27.7567667,-81.4639835,2020,0
